state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7242,113,12962.46577,1.560342447
Alabama,21901,314,9810.781512,1.433724487
Alabama,2345,59,9499.311351,2.515991471
Alabama,2685,64,11989.8187,2.383612663
Alabama,6950,139,12018.81507,2
Alabama,1245,42,12325.51233,3.373493976
Alabama,2246,71,11548.74537,3.161175423
Alabama,14724,327,12960.69715,2.220863896
Alabama,3728,124,11210.68142,3.326180258
Alabama,1873,45,7149.946557,2.402562734
Alabama,4478,116,10079.22931,2.590442162
Alabama,621,25,4932.877909,4.025764895
Alabama,3531,61,14947.9299,1.727555933
Alabama,1601,59,12096.71326,3.685196752
Alabama,1536,44,10301.81087,2.864583333
Alabama,5638,127,10771.4646,2.252571834
Alabama,6415,140,11612.7514,2.182385035
Alabama,1136,30,9414.104583,2.64084507
Alabama,1116,29,10466.09772,2.598566308
Alabama,4279,122,11549.56949,2.851133442
Alabama,1563,57,11349.11414,3.646833013
Alabama,9958,201,11887.59431,2.018477606
Alabama,4930,116,10026.03107,2.352941176
Alabama,3610,158,9705.344661,4.376731302
Alabama,8977,190,12552.9624,2.116519996
Alabama,10301,214,12684.55467,2.077468207
Alabama,4018,80,10968.25267,1.991040319
Alabama,14183,364,13868.46325,2.566452796
Alabama,2189,62,13427.80027,2.832343536
Alabama,4317,82,13765.066,1.899467223
Alabama,2584,81,9835.940771,3.134674923
Alabama,936,34,11539.88411,3.632478632
Alabama,2271,78,15500.64842,3.434610304
Alabama,1944,43,11299.04098,2.211934156
Alabama,10791,287,10191.53397,2.659623761
Alabama,6953,113,13468.01999,1.625197756
Alabama,81046,1571,12306.30469,1.93840535
Alabama,1469,37,10641.07208,2.518720218
Alabama,9612,250,10365.68927,2.600915522
Alabama,3134,100,9518.891994,3.190810466
Alabama,16287,176,9898.384607,1.080616443
Alabama,10188,157,10299.75231,1.541028661
Alabama,1422,54,14620.60457,3.797468354
Alabama,1630,51,9021.47443,3.128834356
Alabama,35718,525,9578.208088,1.469847136
Alabama,2506,65,13285.26745,2.59377494
Alabama,3245,107,10922.61604,3.297380586
Alabama,12454,230,12869.15907,1.84679621
