state,confirmed,deaths,incidenceRate,fatalityRate
Alabama,7247,113,12971.41528,1.559265903
Alabama,21985,314,9848.410188,1.428246532
Alabama,2345,60,9499.311351,2.558635394
Alabama,2687,64,11998.74967,2.381838482
Alabama,6975,139,12062.04821,1.992831541
Alabama,1249,42,12365.11237,3.362690152
Alabama,2255,71,11595.02262,3.148558758
Alabama,14766,330,12997.66736,2.234863876
Alabama,3734,124,11228.72436,3.320835565
Alabama,1874,45,7153.763933,2.401280683
Alabama,4479,116,10081.48015,2.589863809
Alabama,624,25,4956.708237,4.006410256
Alabama,3532,61,14952.16324,1.727066818
Alabama,1602,59,12104.26898,3.68289638
Alabama,1542,44,10342.05231,2.853437095
Alabama,5660,128,10813.49585,2.261484099
Alabama,6425,140,11630.85389,2.178988327
Alabama,1140,30,9447.252838,2.631578947
Alabama,1123,29,10531.74529,2.582368655
Alabama,4292,123,11584.65816,2.865796831
Alabama,1577,57,11450.76968,3.614457831
Alabama,10001,201,11938.92656,2.00979902
Alabama,4936,117,10038.23314,2.370340357
Alabama,3613,158,9713.410044,4.373097149
Alabama,9010,190,12599.10785,2.108768036
Alabama,10311,214,12696.86857,2.075453399
Alabama,4034,80,11011.92913,1.983143282
Alabama,14237,365,13921.26569,2.563742361
Alabama,2200,63,13495.27665,2.863636364
Alabama,4322,81,13781.00886,1.874132346
Alabama,2593,82,9870.199079,3.162360201
Alabama,937,34,11552.21304,3.628601921
Alabama,2272,78,15507.47389,3.433098592
Alabama,1953,44,11351.35135,2.252944188
Alabama,10832,289,10230.25632,2.668020679
Alabama,7017,113,13591.98853,1.610374804
Alabama,81216,1571,12332.11808,1.934347912
Alabama,1472,37,10662.80333,2.513586957
Alabama,9640,251,10395.88478,2.60373444
Alabama,3136,100,9524.96659,3.18877551
Alabama,16319,176,9917.832529,1.078497457
Alabama,10201,157,10312.89491,1.539064798
Alabama,1421,54,14610.32285,3.800140746
Alabama,1632,51,9032.543724,3.125
Alabama,35826,526,9607.169578,1.468207447
Alabama,2505,66,13279.96607,2.634730539
Alabama,3278,106,11033.69349,3.233679073
Alabama,12485,230,12901.19247,1.842210653
Alabama,42331,836,10244.42777,1.974912003
Alabama,1821,41,8783.099407,2.251510159
Alabama,25110,615,11086.77799,2.449223417
Alabama,14662,287,12251.10504,1.957441004
Alabama,0,0,,
Alabama,1086,26,12170.79458,2.394106814
Alabama,2372,62,11901.6558,2.613827993
Alabama,3150,78,9512.592861,2.476190476
Alabama,1880,44,8273.919549,2.340425532
Alabama,4556,41,7860.457894,0.899912204
Alabama,25703,255,11806.50614,0.992102089
Alabama,10192,251,11386.18286,2.462715856
Alabama,1062,32,8545.908103,3.013182674
Alabama,8466,184,10585.41099,2.17339948
Alabama,4149,155,10278.19754,3.735839961
Alabama,26228,461,12528.00267,1.757663566
Alabama,0,0,,
Alabama,7362,281,11589.86792,3.816897582
